"scheme_id","unit_id","objective"
"y13m","2pure9","be able to locate roots of f(x) = 0 by considering changes of sign of f(x)"
"y13m","2pure9","be able to use numerical methods to find solutions of equations"
"y13m","2pure9","understand the principle of iteration"
"y13m","2pure9","appreciate the need for convergence in iteration"
"y13m","2pure9","be able to use iteration to find terms in a sequence"
"y13m","2pure9","be able to sketch cobweb and staircase diagrams"
"y13m","2pure9","be able to use cobweb and staircase diagrams to demonstrate convergence or divergence for equations of the form x = g(x)"
"y13m","2pure9","be able to solve equations approximately using the Newton-Raphson method"
"y13m","2pure9","understand how the Newton-Raphson method works in geometrical terms"
"y13m","2pure9","be able to use numerical methods to solve problems in context"
"y13m","2pure10","be able to integrate expressions by inspection using the reverse of differentiation"
"y13m","2pure10","be able to integrate xn for all values of n and understand that the integral of 1/x is ln |x|"
"y13m","2pure10","be able to integrate expressions by inspection using the reverse of the chain rule (or function of a function)"
"y13m","2pure10","be able to integrate trigonometric expressions"
"y13m","2pure10","be able to integrate expressions involving ex"
"y13m","2pure10","recognise integrals of the form  = ln |f(x)| + c"
"y13m","2pure10","be able to use trigonometric identities to manipulate and simplify expressions to a form which can be integrated directly"
"y13m","2pure11","be able to integrate expressions using an appropriate substitution"
"y13m","2pure11","be able to select the correct substitution and justify their choices"
"y13m","2pure11","be able to integrate an expression using integration by parts"
"y13m","2pure11","be able to select the correct method for integration and justify their choices"
"y13m","2pure11","be able to integrate rational expressions by using partial fractions that are linear in the denominator"
"y13m","2pure11","be able to simplify the expression using laws of logarithms"
"y13m","2pure11","understand and be able to use integration as the limit of a sum"
"y13m","2pure11","understand the difference between an indefinite and definite integral and why we do not need + c"
"y13m","2pure11","be able to integrate polynomials and other functions to find definite integrals, and use these to find the areas of regions bounded by curves and/or lines"
"y13m","2pure11","be able to use a definite integral to find the area under a curve and the area between two curves"
"y13m","2pure11","be able to use the trapezium rule to find an approximation to the area under a curve"
"y13m","2pure11","appreciate the trapezium rule is an approximation and realise when it gives an overestimate or underestimate"
"y13m","2pure11","be able to write a differential equation from a worded problem"
"y13m","2pure11","be able to use a differential equation as a model to solve a problem"
"y13m","2pure11","be able to solve a differential equation"
"y13m","2pure11","be able to substitute the initial conditions or otherwise into the equation to find + c and the general solution"
"y13m","2pure12","be able to extend the work on vectors from AS Pure Mathematics to 3D with column vectors and with the use of i, j and k unit vectors"
"y13m","2pure12","be able to calculate the magnitude of a 3D vector"
"y13m","2pure12","know the definition of a unit vector in 3D"
"y13m","2pure12","be able to add 3D vectors diagrammatically and perform the algebraic operations of vector addition and multiplication by scalars, and understand their geometrical interpretations"
"y13m","2pure12","understand and use position vectors, and calculate the distance between two 3D points represented by position vectors"
"y13m","2pure12","be able to use vectors to solve problems in pure mathematics and in contexts (e.g. mechanics)"
"y13m","2stats1","be able to change the variable in a regression line"
"y13m","2stats1","be able to estimate values from regression line"
"y13m","2stats1","understand correlation coefficients"
"y13m","2stats1","be able to calculate the PMCC (calculator only)"
"y13m","2stats1","be able to interpret a correlation coefficient"
"y13m","2stats1","be able to conduct a hypothesis test for a correlation coefficient"
"y13m","2stats2","understand and be able to use probability formulae using set notation"
"y13m","2stats2","be able to use tree diagrams, Venn diagrams and two-way tables"
"y13m","2stats2","understand and be able to use the conditional probability formula "
"y13m","2stats2","be able to model with probability"
"y13m","2stats2","be able to critique assumptions made and the likely effect of more realistic assumptions"
"y13m","2stats3","understand the properties of the Normal distribution"
"y13m","2stats3","be able to find probabilities using the Normal distribution"
"y13m","2stats3","know the position of the points of inflection of a Normal distribution"
"y13m","2stats3","be able to find the mean and variance of a binomial distribution"
"y13m","2stats3","understand and be able to apply a continuity correction"
"y13m","2stats3","be able to use the Normal distribution as an approximation to the binomial distribution"
"y13m","2stats3","be able to conduct a statistical hypothesis test for the mean of the Normal distribution"
"y13m","2stats3","be able to interpret the results in context"
"y13m","2mech4","realise that a force can produce a turning effect"
"y13m","2mech4","know that a moment of a force is given by the formula force x distance giving Nm and know what the sense of a moment is"
"y13m","2mech4","understand that the force and distance must be perpendicular to one another"
"y13m","2mech4","be able to draw mathematical models to represent horizontal rod problems"
"y13m","2mech4","realise what conditions are needed for a system to remain in equilibrium"
"y13m","2mech4","be able to solve problems when a bar is on the point of tilting"
"y13m","2mech5","understand the language relating to forces"
"y13m","2mech5","be able to identify the forces acting on a particle and represent them in a force diagram"
"y13m","2mech5","understand how to find the resultant force (magnitude and direction)"
"y13m","2mech5","be able to find the resultant of several concurrent forces by vector addition"
"y13m","2mech5","be able to resolve a force into components and be able to select suitable directions for resolution"
"y13m","2mech5","understand that a rough plane will have an associated frictional force, which opposes relative motion (i.e. the direction of the frictional force is always opposite to how the object is moving or ‘wants’ to move)"
"y13m","2mech5","understand that the ‘roughness’ of two surfaces is represented by a value called the coefficient of friction represented by µ"
"y13m","2mech5","know that 0 ≤ µ but that there is no theoretical upper limit for µ although for most surfaces it tends to be less than 1 and that a ‘smooth’ surface has a value of µ = 0"
"y13m","2mech5","be able to draw force diagrams involving rough surfaces which include the frictional force"
"y13m","2mech5","understand and be able to use the formula F ≤ µR"
"y13m","2mech6","be able to find the time of flight of a projectile"
"y13m","2mech6","be able to find the range and maximum height of a projectile"
"y13m","2mech6","be able to derive formulae to find the greatest height, the time of flight and the horizontal range (for a full trajectory)"
"y13m","2mech6","know how to modify projectile equations to take account of the height of release"
"y13m","2mech6","be able to derive and use the equation of the path"
"y13m","2mech7","understand that a body is in equilibrium under a set of concurrent (acting through the same point) forces is if their resultant is zero"
"y13m","2mech7","know that vectors representing forces in equilibrium form a closed polygon"
"y13m","2mech7","understand how to solve problems involving equilibrium of a particle under coplanar forces, including particles on inclined planes and 2D vectors"
"y13m","2mech7","be able to solve statics problems for a system of forces which are not concurrent (e.g. ladder problems), thus applying the principle of moments for forces at any angle"
"y13m","2mech7","know and understand the meaning of Newton's second law"
"y13m","2mech7","be able to formulate the equation of motion for a particle in 1-dimensional motion where the resultant force is mass × acceleration"
"y13m","2mech7","be able to formulate the equation of motion for a particle in 2-dimensional motion where the resultant force is mass × acceleration"
"y13m","2mech7","be able to formulate and solve separate equations of motion for connected particles, where one of the particles could be on an inclined and/or rough plane"
"y13m","2mech8","be able to recognise when the use of constant acceleration formulae is appropriate"
"y13m","2mech8","be able to write positions, velocities and accelerations in vector form"
"y13m","2mech8","understand the language of kinematics appropriate to motion in 2 dimensions"
"y13m","2mech8","be able to find the magnitude and direction of vectors"
"y13m","2mech8","be able to extend techniques for motion in 1 dimension to 2 dimensions by using vectors"
"y13m","2mech8","know how to use velocity triangles to solve simple problems"
"y13m","2mech8","understand and use suvat formulae for constant acceleration in 2D"
"y13m","2mech8","know how to apply the equations of motion to i, j vector problems"
"y13m","2mech8","be able to use v = u + at , r = ut + 1/2at2  etc. with vectors given in i , j or column vector form"
"y13m","2mech8","be able to extend techniques for motion in 1 dimension to 2 dimensions by using calculus and vector versions of equations for variable force/acceleration problems"
"y13m","2mech8","understand the language and notation of kinematics appropriate to variable motion in 2 dimensions, i.e. knowing the notation r ̇ and r ̈ for variable acceleration in terms of time"
